"","sample","bp","bp_Nikolov2019","bp_Angiosperms353","bpoftarget","bpoftarget_Nikolov2019","bpoftarget_Angiosperms353"
"1","PAFTOL_019361",720399,497535,222864,61,56,76.3
"2","S_670",720399,497535,222864,61,56,76.3
"3","S0055",720399,497535,222864,61,56,76.3
"4","S0156",720399,497535,222864,61,56,76.3
"5","S0196sl",720399,497535,222864,61,56,76.3
"6","S0268",720399,497535,222864,61,56,76.3
"7","S0275",720399,497535,222864,61,56,76.3
"8","S0277",720399,497535,222864,61,56,76.3
"9","S0278",720399,497535,222864,61,56,76.3
"10","S0279",720399,497535,222864,61,56,76.3
"11","S0280",720399,497535,222864,61,56,76.3
"12","S0281",720399,497535,222864,61,56,76.3
"13","S0282",720399,497535,222864,61,56,76.3
"14","S0283",720399,497535,222864,61,56,76.3
"15","S0284",720399,497535,222864,61,56,76.3
"16","S0285",720399,497535,222864,61,56,76.3
"17","S0286",720399,497535,222864,61,56,76.3
"18","S0288",720399,497535,222864,61,56,76.3
"19","S0289",720399,497535,222864,61,56,76.3
"20","S0292",720399,497535,222864,61,56,76.3
"21","S0293",720399,497535,222864,61,56,76.3
"22","S0294",720399,497535,222864,61,56,76.3
"23","S0297",720399,497535,222864,61,56,76.3
"24","S0298",720399,497535,222864,61,56,76.3
"25","S0299",720399,497535,222864,61,56,76.3
"26","S0300",720399,497535,222864,61,56,76.3
"27","S0301",720399,497535,222864,61,56,76.3
"28","S0303",720399,497535,222864,61,56,76.3
"29","S0305",720399,497535,222864,61,56,76.3
"30","S0306",720399,497535,222864,61,56,76.3
"31","S0308",720399,497535,222864,61,56,76.3
"32","S0312",720399,497535,222864,61,56,76.3
"33","S0315",720399,497535,222864,61,56,76.3
"34","S0317",720399,497535,222864,61,56,76.3
"35","S0320",720399,497535,222864,61,56,76.3
"36","S0322",720399,497535,222864,61,56,76.3
"37","S0323",720399,497535,222864,61,56,76.3
"38","S0327",720399,497535,222864,61,56,76.3
"39","S0329",720399,497535,222864,61,56,76.3
"40","S0331",720399,497535,222864,61,56,76.3
"41","S0335",720399,497535,222864,61,56,76.3
"42","S0345",720399,497535,222864,61,56,76.3
"43","S0346",720399,497535,222864,61,56,76.3
"44","S0355",720399,497535,222864,61,56,76.3
"45","S0371",720399,497535,222864,61,56,76.3
"46","S0373",720399,497535,222864,61,56,76.3
"47","S0376",720399,497535,222864,61,56,76.3
"48","S0377",720399,497535,222864,61,56,76.3
"49","S0380",720399,497535,222864,61,56,76.3
"50","S0381",720399,497535,222864,61,56,76.3
"51","S0383",720399,497535,222864,61,56,76.3
"52","S0384",720399,497535,222864,61,56,76.3
"53","S0385",720399,497535,222864,61,56,76.3
"54","S0400",720399,497535,222864,61,56,76.3
"55","S0403sl",720399,497535,222864,61,56,76.3
"56","S0405",720399,497535,222864,61,56,76.3
"57","S0407sl",720399,497535,222864,61,56,76.3
"58","S0412sl",720399,497535,222864,61,56,76.3
"59","S0416",720399,497535,222864,61,56,76.3
"60","S0417",720399,497535,222864,61,56,76.3
"61","S0419",720399,497535,222864,61,56,76.3
"62","S0420sl",720399,497535,222864,61,56,76.3
"63","S0421",720399,497535,222864,61,56,76.3
"64","S0424",720399,497535,222864,61,56,76.3
"65","S0427",720399,497535,222864,61,56,76.3
"66","S0428sl",720399,497535,222864,61,56,76.3
"67","S0430",720399,497535,222864,61,56,76.3
"68","S0435",720399,497535,222864,61,56,76.3
"69","S0436",720399,497535,222864,61,56,76.3
"70","S0450",720399,497535,222864,61,56,76.3
"71","S0464",720399,497535,222864,61,56,76.3
"72","S0478",720399,497535,222864,61,56,76.3
"73","S0509",720399,497535,222864,61,56,76.3
"74","S0512sl",720399,497535,222864,61,56,76.3
"75","S0521",720399,497535,222864,61,56,76.3
"76","S0547",720399,497535,222864,61,56,76.3
"77","S0552sl",720399,497535,222864,61,56,76.3
"78","S0555",720399,497535,222864,61,56,76.3
"79","S0558",720399,497535,222864,61,56,76.3
"80","S0560",720399,497535,222864,61,56,76.3
"81","S0562",720399,497535,222864,61,56,76.3
"82","S0577",720399,497535,222864,61,56,76.3
"83","S0583",720399,497535,222864,61,56,76.3
"84","S0590",720399,497535,222864,61,56,76.3
"85","S0591",720399,497535,222864,61,56,76.3
"86","S0593",720399,497535,222864,61,56,76.3
"87","S0612",720399,497535,222864,61,56,76.3
"88","S0613sl",720399,497535,222864,61,56,76.3
"89","S0616",720399,497535,222864,61,56,76.3
"90","S0617",720399,497535,222864,61,56,76.3
"91","S0620",720399,497535,222864,61,56,76.3
"92","S0624",720399,497535,222864,61,56,76.3
"93","S0641",720399,497535,222864,61,56,76.3
"94","S0642",720399,497535,222864,61,56,76.3
"95","S0643",720399,497535,222864,61,56,76.3
"96","S0645sl",720399,497535,222864,61,56,76.3
"97","S0647-2",720399,497535,222864,61,56,76.3
"98","S0654",720399,497535,222864,61,56,76.3
"99","S0655sl",720399,497535,222864,61,56,76.3
"100","S0656sl",720399,497535,222864,61,56,76.3
"101","S0657",720399,497535,222864,61,56,76.3
"102","S0660sl",720399,497535,222864,61,56,76.3
"103","S0662",720399,497535,222864,61,56,76.3
"104","S0664",720399,497535,222864,61,56,76.3
"105","S0667",720399,497535,222864,61,56,76.3
"106","S0669",720399,497535,222864,61,56,76.3
"107","S0670",720399,497535,222864,61,56,76.3
"108","S0671",720399,497535,222864,61,56,76.3
"109","S0672",720399,497535,222864,61,56,76.3
"110","S0673",720399,497535,222864,61,56,76.3
"111","S0677",720399,497535,222864,61,56,76.3
"112","S0688",720399,497535,222864,61,56,76.3
"113","S0689",720399,497535,222864,61,56,76.3
"114","S0690",720399,497535,222864,61,56,76.3
"115","S0691",720399,497535,222864,61,56,76.3
"116","S0717",720399,497535,222864,61,56,76.3
"117","S0718",720399,497535,222864,61,56,76.3
"118","S0720",720399,497535,222864,61,56,76.3
"119","S0721sl",720399,497535,222864,61,56,76.3
"120","S0722",720399,497535,222864,61,56,76.3
"121","S0724sl",720399,497535,222864,61,56,76.3
"122","S0726",720399,497535,222864,61,56,76.3
"123","S0727",720399,497535,222864,61,56,76.3
"124","S0728sl",720399,497535,222864,61,56,76.3
"125","S0731sl",720399,497535,222864,61,56,76.3
"126","S0732",720399,497535,222864,61,56,76.3
"127","S0733sl",720399,497535,222864,61,56,76.3
"128","S0735",720399,497535,222864,61,56,76.3
"129","S0739",720399,497535,222864,61,56,76.3
"130","S0740",720399,497535,222864,61,56,76.3
"131","S0741",720399,497535,222864,61,56,76.3
"132","S0742",720399,497535,222864,61,56,76.3
"133","S0743",720399,497535,222864,61,56,76.3
"134","S0745",720399,497535,222864,61,56,76.3
"135","S0746",720399,497535,222864,61,56,76.3
"136","S0747sl",720399,497535,222864,61,56,76.3
"137","S0748",720399,497535,222864,61,56,76.3
"138","S0751",720399,497535,222864,61,56,76.3
"139","S0752",720399,497535,222864,61,56,76.3
"140","S0753",720399,497535,222864,61,56,76.3
"141","S0754",720399,497535,222864,61,56,76.3
"142","S0756",720399,497535,222864,61,56,76.3
"143","S0757",720399,497535,222864,61,56,76.3
"144","S0758",720399,497535,222864,61,56,76.3
"145","S0760",720399,497535,222864,61,56,76.3
"146","S0762-2",720399,497535,222864,61,56,76.3
"147","S0763",720399,497535,222864,61,56,76.3
"148","S0764",720399,497535,222864,61,56,76.3
"149","S0765",720399,497535,222864,61,56,76.3
"150","S0766",720399,497535,222864,61,56,76.3
"151","S0768",720399,497535,222864,61,56,76.3
"152","S0770",720399,497535,222864,61,56,76.3
"153","S0771",720399,497535,222864,61,56,76.3
"154","S0772",720399,497535,222864,61,56,76.3
"155","S0791",720399,497535,222864,61,56,76.3
"156","S0795",720399,497535,222864,61,56,76.3
"157","S0809",720399,497535,222864,61,56,76.3
"158","S0827",720399,497535,222864,61,56,76.3
"159","S0834",720399,497535,222864,61,56,76.3
"160","S0836",720399,497535,222864,61,56,76.3
"161","S0851",720399,497535,222864,61,56,76.3
"162","S0888",720399,497535,222864,61,56,76.3
"163","S0890",720399,497535,222864,61,56,76.3
"164","S0892",720399,497535,222864,61,56,76.3
"165","S0893",720399,497535,222864,61,56,76.3
"166","S0894",720399,497535,222864,61,56,76.3
"167","S0895",720399,497535,222864,61,56,76.3
"168","S0896",720399,497535,222864,61,56,76.3
"169","S0897",720399,497535,222864,61,56,76.3
"170","S0899",720399,497535,222864,61,56,76.3
"171","S0901",720399,497535,222864,61,56,76.3
"172","S0902",720399,497535,222864,61,56,76.3
"173","S0903",720399,497535,222864,61,56,76.3
"174","S0904",720399,497535,222864,61,56,76.3
"175","S0906",720399,497535,222864,61,56,76.3
"176","S0941",720399,497535,222864,61,56,76.3
"177","S0946",720399,497535,222864,61,56,76.3
"178","S0947sl",720399,497535,222864,61,56,76.3
"179","S0949",720399,497535,222864,61,56,76.3
"180","S0951",720399,497535,222864,61,56,76.3
"181","S0952",720399,497535,222864,61,56,76.3
"182","S0954",720399,497535,222864,61,56,76.3
"183","S0956",720399,497535,222864,61,56,76.3
"184","S0957",720399,497535,222864,61,56,76.3
"185","S0959",720399,497535,222864,61,56,76.3
"186","S0960",720399,497535,222864,61,56,76.3
"187","S0963",720399,497535,222864,61,56,76.3
"188","S0964",720399,497535,222864,61,56,76.3
"189","S0989",720399,497535,222864,61,56,76.3
"190","S1011sl",720399,497535,222864,61,56,76.3
"191","S1021",720399,497535,222864,61,56,76.3
"192","S1038",720399,497535,222864,61,56,76.3
"193","S1039",720399,497535,222864,61,56,76.3
"194","S1040",720399,497535,222864,61,56,76.3
"195","S1043sl",720399,497535,222864,61,56,76.3
"196","S1044",720399,497535,222864,61,56,76.3
"197","S1045",720399,497535,222864,61,56,76.3
"198","S1050",720399,497535,222864,61,56,76.3
"199","S1052sl",720399,497535,222864,61,56,76.3
"200","S1053sl",720399,497535,222864,61,56,76.3
"201","S1069",720399,497535,222864,61,56,76.3
"202","S1072",720399,497535,222864,61,56,76.3
"203","S1074",720399,497535,222864,61,56,76.3
"204","S1077",720399,497535,222864,61,56,76.3
"205","S1083",720399,497535,222864,61,56,76.3
"206","S1089",720399,497535,222864,61,56,76.3
"207","S1093sl",720399,497535,222864,61,56,76.3
"208","S1095",720399,497535,222864,61,56,76.3
"209","S1096",720399,497535,222864,61,56,76.3
"210","S1097",720399,497535,222864,61,56,76.3
"211","S1098",720399,497535,222864,61,56,76.3
"212","S1100",720399,497535,222864,61,56,76.3
"213","S1102",720399,497535,222864,61,56,76.3
"214","S1103",720399,497535,222864,61,56,76.3
"215","S1106sl",720399,497535,222864,61,56,76.3
"216","S1110",720399,497535,222864,61,56,76.3
"217","S1111",720399,497535,222864,61,56,76.3
"218","S1113",720399,497535,222864,61,56,76.3
"219","S1114-2",720399,497535,222864,61,56,76.3
"220","S1116",720399,497535,222864,61,56,76.3
"221","S1117",720399,497535,222864,61,56,76.3
"222","S1118",720399,497535,222864,61,56,76.3
"223","S1119",720399,497535,222864,61,56,76.3
"224","S1120",720399,497535,222864,61,56,76.3
"225","S1121",720399,497535,222864,61,56,76.3
"226","S1128",720399,497535,222864,61,56,76.3
"227","S1129sl",720399,497535,222864,61,56,76.3
"228","S1148",720399,497535,222864,61,56,76.3
"229","S1168",720399,497535,222864,61,56,76.3
"230","S1176",720399,497535,222864,61,56,76.3
"231","S1177",720399,497535,222864,61,56,76.3
"232","S1180",720399,497535,222864,61,56,76.3
"233","S1181-2",720399,497535,222864,61,56,76.3
"234","S1182",720399,497535,222864,61,56,76.3
"235","S1184",720399,497535,222864,61,56,76.3
"236","S1187sl",720399,497535,222864,61,56,76.3
"237","S1188",720399,497535,222864,61,56,76.3
"238","S1189",720399,497535,222864,61,56,76.3
"239","S1201sl",720399,497535,222864,61,56,76.3
"240","S1204",720399,497535,222864,61,56,76.3
"241","S1208sl",720399,497535,222864,61,56,76.3
"242","S1210",720399,497535,222864,61,56,76.3
"243","S1211",720399,497535,222864,61,56,76.3
"244","S1213",720399,497535,222864,61,56,76.3
"245","S1214sl",720399,497535,222864,61,56,76.3
"246","S1220",720399,497535,222864,61,56,76.3
"247","S1221sl",720399,497535,222864,61,56,76.3
"248","S1223",720399,497535,222864,61,56,76.3
"249","S1227",720399,497535,222864,61,56,76.3
"250","S1229-2",720399,497535,222864,61,56,76.3
"251","S1230",720399,497535,222864,61,56,76.3
"252","S1232sl",720399,497535,222864,61,56,76.3
"253","S1234",720399,497535,222864,61,56,76.3
"254","S1235sl",720399,497535,222864,61,56,76.3
"255","S1238sl",720399,497535,222864,61,56,76.3
"256","S1239",720399,497535,222864,61,56,76.3
"257","S1241",720399,497535,222864,61,56,76.3
"258","S1245",720399,497535,222864,61,56,76.3
"259","S1246",720399,497535,222864,61,56,76.3
"260","S1249",720399,497535,222864,61,56,76.3
"261","S1250sl",720399,497535,222864,61,56,76.3
"262","S1251",720399,497535,222864,61,56,76.3
"263","S1258-2",720399,497535,222864,61,56,76.3
"264","S1260",720399,497535,222864,61,56,76.3
"265","S1261",720399,497535,222864,61,56,76.3
"266","S1262",720399,497535,222864,61,56,76.3
"267","S1266sl",720399,497535,222864,61,56,76.3
"268","S1269",720399,497535,222864,61,56,76.3
"269","S1270",720399,497535,222864,61,56,76.3
"270","S1276",720399,497535,222864,61,56,76.3
"271","S1278",720399,497535,222864,61,56,76.3
"272","S1279",720399,497535,222864,61,56,76.3
"273","S1314",720399,497535,222864,61,56,76.3
"274","S1315",720399,497535,222864,61,56,76.3
"275","S1318-2",720399,497535,222864,61,56,76.3
"276","S1319",720399,497535,222864,61,56,76.3
"277","S1328sl",720399,497535,222864,61,56,76.3
"278","S1331",720399,497535,222864,61,56,76.3
"279","S1332",720399,497535,222864,61,56,76.3
"280","S1336",720399,497535,222864,61,56,76.3
"281","S1339",720399,497535,222864,61,56,76.3
"282","S1341",720399,497535,222864,61,56,76.3
"283","S1342",720399,497535,222864,61,56,76.3
"284","S1354",720399,497535,222864,61,56,76.3
"285","S1365",720399,497535,222864,61,56,76.3
"286","S1366",720399,497535,222864,61,56,76.3
"287","S1368",720399,497535,222864,61,56,76.3
"288","S1369",720399,497535,222864,61,56,76.3
"289","S1370",720399,497535,222864,61,56,76.3
"290","S1371",720399,497535,222864,61,56,76.3
"291","S1374",720399,497535,222864,61,56,76.3
"292","S1375",720399,497535,222864,61,56,76.3
"293","S1376",720399,497535,222864,61,56,76.3
"294","S1378",720399,497535,222864,61,56,76.3
"295","S1381",720399,497535,222864,61,56,76.3
"296","S1400",720399,497535,222864,61,56,76.3
"297","S1401",720399,497535,222864,61,56,76.3
"298","S1405",720399,497535,222864,61,56,76.3
"299","S1407",720399,497535,222864,61,56,76.3
"300","S1408",720399,497535,222864,61,56,76.3
"301","S1409",720399,497535,222864,61,56,76.3
"302","S1419",720399,497535,222864,61,56,76.3
"303","S1421",720399,497535,222864,61,56,76.3
"304","S1422",720399,497535,222864,61,56,76.3
"305","S1424",720399,497535,222864,61,56,76.3
"306","S1428",720399,497535,222864,61,56,76.3
"307","S1442",720399,497535,222864,61,56,76.3
"308","S1449",720399,497535,222864,61,56,76.3
"309","S1451",720399,497535,222864,61,56,76.3
"310","S1458",720399,497535,222864,61,56,76.3
"311","S1459",720399,497535,222864,61,56,76.3
"312","S1460",720399,497535,222864,61,56,76.3
"313","S1462",720399,497535,222864,61,56,76.3
"314","S1464",720399,497535,222864,61,56,76.3
"315","S1474",720399,497535,222864,61,56,76.3
"316","S1475",720399,497535,222864,61,56,76.3
"317","S1498",720399,497535,222864,61,56,76.3
"318","S1506",720399,497535,222864,61,56,76.3
"319","S1509",720399,497535,222864,61,56,76.3
"320","S1519",720399,497535,222864,61,56,76.3
"321","S1539",720399,497535,222864,61,56,76.3
"322","S1541sl",720399,497535,222864,61,56,76.3
"323","S1561",720399,497535,222864,61,56,76.3
"324","S1579",720399,497535,222864,61,56,76.3
"325","SRR11470320",720399,497535,222864,61,56,76.3
"326","SRR8528336",720399,497535,222864,61,56,76.3
"327","SRR8528338",720399,497535,222864,61,56,76.3
"328","SRR8528339",720399,497535,222864,61,56,76.3
"329","SRR8528341",720399,497535,222864,61,56,76.3
"330","SRR8528342",720399,497535,222864,61,56,76.3
"331","SRR8528343",720399,497535,222864,61,56,76.3
"332","SRR8528347",720399,497535,222864,61,56,76.3
"333","SRR8528350",720399,497535,222864,61,56,76.3
"334","SRR8528354",720399,497535,222864,61,56,76.3
"335","SRR8528356",720399,497535,222864,61,56,76.3
"336","SRR8528357",720399,497535,222864,61,56,76.3
"337","SRR8528358",720399,497535,222864,61,56,76.3
"338","SRR8528359",720399,497535,222864,61,56,76.3
"339","SRR8528361",720399,497535,222864,61,56,76.3
"340","SRR8528364",720399,497535,222864,61,56,76.3
"341","SRR8528365",720399,497535,222864,61,56,76.3
"342","SRR8528370",720399,497535,222864,61,56,76.3
"343","SRR8528372",720399,497535,222864,61,56,76.3
"344","SRR8528373",720399,497535,222864,61,56,76.3
"345","SRR8528376",720399,497535,222864,61,56,76.3
"346","SRR8528379",720399,497535,222864,61,56,76.3
"347","SRR8528380",720399,497535,222864,61,56,76.3
"348","SRR8528381",720399,497535,222864,61,56,76.3
"349","SRR8528382",720399,497535,222864,61,56,76.3
"350","SRR8528384",720399,497535,222864,61,56,76.3
"351","SRR8528385",720399,497535,222864,61,56,76.3
"352","SRR8528388",720399,497535,222864,61,56,76.3
"353","SRR8528389",720399,497535,222864,61,56,76.3
"354","SRR8528391",720399,497535,222864,61,56,76.3
"355","SRR8528394",720399,497535,222864,61,56,76.3
"356","SRR8528397",720399,497535,222864,61,56,76.3
"357","SRR8528398",720399,497535,222864,61,56,76.3
"358","SRR8528399",720399,497535,222864,61,56,76.3
"359","SRR8528400",720399,497535,222864,61,56,76.3
